Year;CO2
1901;315.7
1896;313.6
1896;314.7
1896;314.1
1890;311.4
1881;309.2
1878;307.9
1871;305.2
1868;305.0
1847;299.0
1841;296.5
1833;294.7
1787;286.1
1767;285.1
1738;283.7
1736;281.6
1719;279.5
1702;276.7
1691;277.2
1689;276.9
1662;277.5
1634;276.5
1621;275.9
1589;277.2
1546;274.3
1531;278.7
1512;281.9
1489;282.8
1469;283.2
1441;282.4
1407;279.6
1388;281.7
1329;280.0
1329;280.4
1269;283.4
1188;281.7
1138;283.9
1088;283.8
1038;282.4
988;280.3
948;279.4
